"","strategy_id","primary_id","design_id","future_id","strategy","strategy_code","baseline_strategy_id"
"1",0,0,0,0,"Baseline NDP","BASE",1
"2",3001,3003,0,0,"CCSQ: Increase direct air capture","CCSQ:INCREASE_CAPTURE",0
"3",3002,4004,0,0,"CCSQ: Increase direct air capture with renewable energy production","CCSQ:INCREASE_CAPTURE_REP",0
"4",3003,5005,0,0,"ENTC: 95% of electricity is generated by renewables in 2050","ENTC:RENEWABLE_ELEC_TARGET",0
"5",3004,6006,0,0,"ENTC: Least cost solution","ENTC:LEAST_COST",0
"6",3005,7007,0,0,"ENTC: Reduce transmission losses","ENTC:REDUCE_LOSSES",0
"7",3006,8008,0,0,"ENTC: Reduce transmission losses with renewable energy production","ENTC:REDUCE_LOSSES_REP",0
"8",3007,9009,0,0,"FGTV: All Fugitive Emissions transformations","FGTV:ALL",0
"9",3008,10010,0,0,"FGTV: All Fugitive Emissions transformations with renewable energy production","FGTV:ALL_REP",0
"10",3009,11011,0,0,"FGTV: Maximize flaring","FGTV:INC_FLARE",0
"11",3010,12012,0,0,"FGTV: Maximize flaring with renewable energy production","FGTV:INC_FLARE_REP",0
"12",3011,13013,0,0,"FGTV: Minimize leaks","FGTV:DEC_LEAKS",0
"13",3012,14014,0,0,"FGTV: Minimize leaks with renewable energy production","FGTV:DEC_LEAKS_REP",0
"14",3013,15015,0,0,"INEN: All Industrial Energy transformations","INEN:ALL",0
"15",3014,16016,0,0,"INEN: All Industrial Energy transformations with renewable energy production","INEN:ALL_REP",0
"16",3015,17017,0,0,"INEN: Fuel switch low-temp thermal processes to industrial heat pumps","INEN:FUEL_SWITCH_LO_HEAT",0
"17",3016,18018,0,0,"INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production","INEN:FUEL_SWITCH_LO_HEAT_REP",0
"18",3017,19019,0,0,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity","INEN:FUEL_SWITCH_HI_HEAT",0
"19",3018,20020,0,0,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production","INEN:FUEL_SWITCH_HI_HEAT_REP",0
"20",3019,21021,0,0,"INEN: Maximize industrial energy efficiency","INEN:INC_EFFICIENCY_ENERGY",0
"21",3020,22022,0,0,"INEN: Maximize industrial energy efficiency with renewable energy production","INEN:INC_EFFICIENCY_ENERGY_REP",0
"22",3021,23023,0,0,"INEN: Maximize industrial production efficiency","INEN:INC_EFFICIENCY_PRODUCTION",0
"23",3022,24024,0,0,"INEN: Maximize industrial production efficiency with renewable energy production","INEN:INC_EFFICIENCY_PRODUCTION_REP",0
"24",3023,25025,0,0,"SCOE: All Stationary Combustion and Other Energy transformations","SCOE:ALL",0
"25",3024,26026,0,0,"SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production","SCOE:ALL_REP",0
"26",3025,27027,0,0,"SCOE: Increase appliance efficiency","SCOE:INC_EFFICIENCY_APPLIANCE",0
"27",3026,28028,0,0,"SCOE: Increase appliance efficiency with renewable energy production","SCOE:INC_EFFICIENCY_APPLIANCE_REP",0
"28",3027,29029,0,0,"SCOE: Reduce end-use demand for heat energy by improving building shell","SOCE:DEC_DEMAND_HEAT",0
"29",3028,30030,0,0,"SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production","SOCE:DEC_DEMAND_HEAT_REP",0
"30",3029,31031,0,0,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.","SCOE:FUEL_SWITCH_HEAT",0
"31",3030,32032,0,0,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production","SCOE:FUEL_SWITCH_HEAT_REP",0
"32",3031,33033,0,0,"TRNS: All Transportation transformations","TRNS:ALL",0
"33",3032,34034,0,0,"TRNS: All Transportation transformations with renewable energy production","TRNS:ALL_REP",0
"34",3033,35035,0,0,"TRNS: Demand management bundle","TRNS:BUNDLE_DEMAND_MANAGEMENT",0
"35",3034,36036,0,0,"TRNS: Demand management bundle with renewable energy production","TRNS:BUNDLE_DEMAND_MANAGEMENT_REP",0
"36",3035,37037,0,0,"TRNS: Efficiency bundle","TRNS_BUNDLE_EFFICIENCY",0
"37",3036,38038,0,0,"TRNS: Efficiency bundle with renewable energy production","TRNS_BUNDLE_EFFICIENCY_REP",0
"38",3037,39039,0,0,"TRNS: Electrify light duty road transport","TRNS:FUEL_SWITCH_LIGHT_DUTY",0
"39",3038,40040,0,0,"TRNS: Electrify light duty road transport with renewable energy production","TRNS:FUEL_SWITCH_LIGHT_DUTY_REP",0
"40",3039,41041,0,0,"TRNS: Electrify rail","TRNS:FUEL_SWITCH_RAIL",0
"41",3040,42042,0,0,"TRNS: Electrify rail with renewable energy production","TRNS:FUEL_SWITCH_RAIL_REP",0
"42",3041,43043,0,0,"TRNS: Fuel switch bundle","TRNS:BUNDLE_FUEL_SWITCH",0
"43",3042,44044,0,0,"TRNS: Fuel switch bundle with renewable energy production","TRNS:BUNDLE_FUEL_SWITCH_REP",0
"44",3043,45045,0,0,"TRNS: Fuel switch maritime","TRNS:FUEL_SWITCH_MARITIME",0
"45",3044,46046,0,0,"TRNS: Fuel switch maritime with renewable energy production","TRNS:FUEL_SWITCH_MARITIME_REP",0
